,작성자,시간,내용
0,brig****,2022.10.09. 13:49,★또라이~~ 네놈이 좌파근성을 가지고 있으니 그렇기 들리지~~ㅋㅋㅋㅋㅋ
1,jti7****,2022.10.09. 13:47,옳소
2,dara****,2022.10.09. 13:47,승민이 준식이 ᆢ야네들 본업이 무위도식 기생충질 인디 ᆢ숙주 밖으로 나가라나가라 한들 나가겠어요ᆢ 구충제 한사발이 답 ᆢ
3,fm99****,2022.10.09. 13:38,직업... 내부총질.. 좌파프락치 대부...
4,ufoj****,2022.10.09. 13:34,당과 달리할 인물들은 전부 다 나가라!!! 내부분열 내부총질할 배신자들은 꺼지란 말이다!!!
5,lx19****,2022.10.09. 13:33,시진핑 윤석열 몽키 닮은 개돼지들 총 집합
6,ssyo****,2022.10.09. 13:31,준서기 승민이 태경이 여기 몇놈들은 좌빨성향이 매우 강한 불순자 들이다 보수의 울타리 안에서 하루 빨리 나가라 꼴보기 싫다
7,bk46****,2022.10.09. 13:29,배신하는 ㅅ. ㅋ. 의관상입니다… 주변에 저런관상 가진사람 멀리하세요!!!
8,says****,2022.10.09. 13:18,맞는말 하는대도 배신자라니ㅋㅋ 박근혜 탄핵수사는 윤석열이 했는데 국민의힘에서 대통령된 윤석열은 그럼 뭐임? 그저 노인네들 니들 입맛에 맞는 사람 인기투표로 대통령 뽑은거잖아 그 수준이 지금 그대로 정부수준으로 드러나고 있는거고 제발 정신좀 차려 노인들아
9,rlfo****,2022.10.09. 13:18,꺼져 빨갱아
10,kimy****,2022.10.09. 13:17,유승민 너 같이 배신을 밥 말아 먹는 자는 준석이랑 같이 징계하여 추방하여야 할 자이다.
11,sang****,2022.10.09. 13:17,강아지승민아 얼마나 얻어 맞아야 정신차릴래? 강아지준떡이는 양두구육이라고 언론에 공개적으로 떠들고 윤통의 이** ?팔려는 설사 말했다 하드라도 옆사람과 개인적으로 사적으로 한건데 뭐가 똑같으냐? 이 모자라는 녀석아 에그~~ 쯪쯪쯪 그러니 가제는 게편이라고 강아지 준떡이나 강아지태경이 끼리 친목회나 하거라
12,yjun****,2022.10.09. 13:16,ㄹㅇ ㅋㅋ
13,meel****,2022.10.09. 13:14,너도 배신당할날이 반듯이 온다!
14,joan****,2022.10.09. 13:08,북조선 로동당보다 더 썩은 독재당 국짐. 해체가 정답이다. 담 총선 몰살이 기다린다. 국민이 바보로 보이지?
15,tton****,2022.10.09. 13:08,역시 배신자는 또 배신을 한다.
